نماد,نام شرکت,عنوان,تاریخ انتشار,کد گزارش,PDF,Excel,لینک گزارش,LetterSerial
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۴/۰۴/۳۱,۱۴۰۴/۰۵/۰۷ ۱۶:۵۹:۴۴,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=s7v2KFjmii4IqWLYxwaAmA%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/s7v2KFjmii4IqWLYxwaAmA%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=s7v2KFjmii4IqWLYxwaAmA%3d%3d&rt=0&let=58&ct=0&ft=-1,s7v2KFjmii4IqWLYxwaAmA==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۴/۰۳/۳۱,۱۴۰۴/۰۴/۰۷ ۱۷:۲۷:۲۳,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=DXdyrl5ay5K1fz7KkQfIQQQaQQQA%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/DXdyrl5ay5K1fz7KkQfIQQQaQQQA%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=DXdyrl5ay5K1fz7KkQfIQQQaQQQA%3d%3d&rt=0&let=58&ct=0&ft=-1,DXdyrl5ay5K1fz7KkQfIQQQaQQQA==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۴/۰۲/۳۱,۱۴۰۴/۰۳/۰۷ ۲۰:۰۴:۱۰,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=RyWxsLiVvo7ASzupfW1xGg%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/RyWxsLiVvo7ASzupfW1xGg%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=RyWxsLiVvo7ASzupfW1xGg%3d%3d&rt=0&let=58&ct=0&ft=-1,RyWxsLiVvo7ASzupfW1xGg==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۴/۰۱/۳۱,۱۴۰۴/۰۲/۰۷ ۱۵:۱۶:۲۷,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=M4X6vR7POiYUeVFRJfYADA%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/M4X6vR7POiYUeVFRJfYADA%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=M4X6vR7POiYUeVFRJfYADA%3d%3d&rt=0&let=58&ct=0&ft=-1,M4X6vR7POiYUeVFRJfYADA==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۱۲/۳۰,۱۴۰۴/۰۱/۱۶ ۱۶:۳۴:۴۳,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=K7ce4sz2cgtqjdPR1BNP0g%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/K7ce4sz2cgtqjdPR1BNP0g%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=K7ce4sz2cgtqjdPR1BNP0g%3d%3d&rt=0&let=58&ct=0&ft=-1,K7ce4sz2cgtqjdPR1BNP0g==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۱۱/۳۰,۱۴۰۳/۱۲/۰۷ ۱۷:۵۴:۱۷,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=dQqUPnZpx5TVxHh3XdpoRg%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/dQqUPnZpx5TVxHh3XdpoRg%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=dQqUPnZpx5TVxHh3XdpoRg%3d%3d&rt=0&let=58&ct=0&ft=-1,dQqUPnZpx5TVxHh3XdpoRg==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۱۰/۳۰,۱۴۰۳/۱۱/۰۷ ۱۷:۰۹:۰۵,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=UOOObOOOFc20LEENLn1OmODaUtSw%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/UOOObOOOFc20LEENLn1OmODaUtSw%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=UOOObOOOFc20LEENLn1OmODaUtSw%3d%3d&rt=0&let=58&ct=0&ft=-1,UOOObOOOFc20LEENLn1OmODaUtSw==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۹/۳۰(اصلاحیه),۱۴۰۳/۱۰/۳۰ ۱۹:۳۵:۴۷,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=JRMxnvKN0tCNgLAdx6PS4g%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/JRMxnvKN0tCNgLAdx6PS4g%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=JRMxnvKN0tCNgLAdx6PS4g%3d%3d&rt=0&let=58&ct=0&ft=-1,JRMxnvKN0tCNgLAdx6PS4g==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۹/۳۰,۱۴۰۳/۱۰/۰۵ ۱۵:۵۹:۵۵,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=QQQaQQQYKOOObOOOCc23Eg5Y4a9OOObOOO6Q2A9g%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/QQQaQQQYKOOObOOOCc23Eg5Y4a9OOObOOO6Q2A9g%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=QQQaQQQYKOOObOOOCc23Eg5Y4a9OOObOOO6Q2A9g%3d%3d&rt=0&let=58&ct=0&ft=-1,QQQaQQQYKOOObOOOCc23Eg5Y4a9OOObOOO6Q2A9g==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۸/۳۰,۱۴۰۳/۰۹/۰۷ ۱۳:۱۸:۰۶,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=DeSbQa9w4DvSqMjXQQQaQQQd9A6w%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/DeSbQa9w4DvSqMjXQQQaQQQd9A6w%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=DeSbQa9w4DvSqMjXQQQaQQQd9A6w%3d%3d&rt=0&let=58&ct=0&ft=-1,DeSbQa9w4DvSqMjXQQQaQQQd9A6w==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۷/۳۰,۱۴۰۳/۰۸/۰۷ ۱۸:۳۴:۱۲,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=4qNIcN5OOObOOOAsVKgbQOOObOOOtLlgRA%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/4qNIcN5OOObOOOAsVKgbQOOObOOOtLlgRA%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=4qNIcN5OOObOOOAsVKgbQOOObOOOtLlgRA%3d%3d&rt=0&let=58&ct=0&ft=-1,4qNIcN5OOObOOOAsVKgbQOOObOOOtLlgRA==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۶/۳۱(اصلاحیه),۱۴۰۳/۰۷/۳۰ ۲۲:۲۷:۴۹,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=iOOObOOOPID1n9NQQQaQQQNBj73G0Sfc1w%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/iOOObOOOPID1n9NQQQaQQQNBj73G0Sfc1w%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=iOOObOOOPID1n9NQQQaQQQNBj73G0Sfc1w%3d%3d&rt=0&let=58&ct=0&ft=-1,iOOObOOOPID1n9NQQQaQQQNBj73G0Sfc1w==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۶/۳۱,۱۴۰۳/۰۷/۰۷ ۱۲:۰۳:۱۰,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=FU06Zg1lT12X3Et6qGrFmw%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/FU06Zg1lT12X3Et6qGrFmw%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=FU06Zg1lT12X3Et6qGrFmw%3d%3d&rt=0&let=58&ct=0&ft=-1,FU06Zg1lT12X3Et6qGrFmw==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۵/۳۱,۱۴۰۳/۰۶/۱۰ ۰۹:۱۲:۱۷,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=GFDD5UBHheNDPs1MrQq8qQ%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/GFDD5UBHheNDPs1MrQq8qQ%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=GFDD5UBHheNDPs1MrQq8qQ%3d%3d&rt=0&let=58&ct=0&ft=-1,GFDD5UBHheNDPs1MrQq8qQ==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۴/۳۱,۱۴۰۳/۰۵/۰۷ ۱۳:۳۴:۴۷,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=4F64No9RjSoBPsbsPRPScg%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/4F64No9RjSoBPsbsPRPScg%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=4F64No9RjSoBPsbsPRPScg%3d%3d&rt=0&let=58&ct=0&ft=-1,4F64No9RjSoBPsbsPRPScg==
ذوب,ذوب آهن اصفهان,گزارش فعالیت ماهانه دوره ۱ ماهه منتهی به  ۱۴۰۳/۰۳/۳۱(اصلاحیه),۱۴۰۳/۰۵/۰۳ ۱۴:۰۸:۰۱,ن-۳۰,https://www.codal.ir/DownloadFile.aspx?hs=qL2XxV2o7j9tIcHHdpaKoQ%3d%3d&ft=1005&let=58,https://excel.codal.ir/service/Excel/GetAll/qL2XxV2o7j9tIcHHdpaKoQ%3d%3d/0,https://www.codal.ir/Reports/Decision.aspx?LetterSerial=qL2XxV2o7j9tIcHHdpaKoQ%3d%3d&rt=0&let=58&ct=0&ft=-1,qL2XxV2o7j9tIcHHdpaKoQ==
